,Date,Open,High,Low,Close,Adj Close,Volume
0,"Mar 6, 2025",113.53,115.35,110.22,110.57,110.57,"321,181,900"
1,"Mar 5, 2025",117.58,118.28,114.51,117.3,117.3,"284,337,900"
2,"Mar 4, 2025",110.65,119.31,110.11,115.99,115.99,"398,163,300"
3,"Mar 3, 2025",123.51,123.7,112.28,114.06,114.06,"411,381,400"
4,"Feb 28, 2025",118.02,125.09,116.4,124.92,124.92,"389,091,100"
5,"Feb 27, 2025",135.0,135.01,120.01,120.15,120.15,"443,175,800"
6,"Feb 26, 2025",129.99,133.73,128.49,131.28,131.28,"322,553,800"
7,"Feb 25, 2025",129.98,130.2,124.44,126.63,126.63,"271,428,700"
8,"Feb 24, 2025",136.56,138.59,130.08,130.28,130.28,"251,381,100"
9,"Feb 21, 2025",140.04,141.46,134.03,134.43,134.43,"228,217,600"
10,"Feb 20, 2025",140.03,140.66,136.79,140.11,140.11,"143,903,600"
11,"Feb 19, 2025",139.51,141.36,137.22,139.23,139.23,"167,536,000"
12,"Feb 18, 2025",141.27,143.44,137.93,139.4,139.4,"219,176,600"
13,"Feb 14, 2025",136.48,139.25,135.5,138.85,138.85,"195,479,600"
14,"Feb 13, 2025",131.56,136.5,131.17,135.29,135.29,"197,430,000"
15,"Feb 12, 2025",130.02,132.24,129.08,131.14,131.14,"160,278,600"
16,"Feb 11, 2025",132.58,134.48,131.02,132.8,132.8,"178,902,400"
17,"Feb 10, 2025",130.09,135.0,129.96,133.57,133.57,"216,989,100"
18,"Feb 7, 2025",129.22,130.37,125.0,129.84,129.84,"228,186,300"
19,"Feb 6, 2025",127.42,128.77,125.21,128.68,128.68,"251,483,600"
20,"Feb 5, 2025",121.76,125.0,120.76,124.83,124.83,"262,230,800"
21,"Feb 4, 2025",116.96,121.2,116.7,118.65,118.65,"256,550,000"
22,"Feb 3, 2025",114.75,118.57,113.01,116.66,116.66,"371,235,700"
23,"Jan 31, 2025",123.78,127.85,119.19,120.07,120.07,"390,372,900"
24,"Jan 30, 2025",123.1,125.0,118.1,124.65,124.65,"392,925,500"
25,"Jan 29, 2025",126.5,126.89,120.05,123.7,123.7,"467,120,600"
26,"Jan 28, 2025",121.81,129.0,116.25,128.99,128.99,"579,666,400"
27,"Jan 27, 2025",124.8,128.4,116.7,118.42,118.42,"818,830,900"
28,"Jan 24, 2025",148.37,148.97,141.88,142.62,142.62,"234,657,600"
29,"Jan 23, 2025",145.05,147.23,143.72,147.22,147.22,"155,915,500"
30,"Jan 22, 2025",144.66,147.79,143.67,147.07,147.07,"237,651,400"
31,"Jan 21, 2025",139.16,141.83,137.09,140.83,140.83,"197,749,000"
32,"Jan 17, 2025",136.69,138.5,135.46,137.71,137.71,"201,188,800"
33,"Jan 16, 2025",138.64,138.75,133.49,133.57,133.57,"209,235,600"
34,"Jan 15, 2025",133.65,136.45,131.29,136.24,136.24,"185,217,300"
35,"Jan 14, 2025",136.05,136.38,130.05,131.76,131.76,"195,590,500"
36,"Jan 13, 2025",129.99,133.49,129.51,133.23,133.23,"204,808,900"
37,"Jan 10, 2025",137.45,139.92,134.22,135.91,135.91,"207,602,500"
38,"Jan 8, 2025",142.58,143.95,137.56,140.11,140.11,"227,349,900"
